"","PHYLLO09","PHYLLO10","PHYLLO11","PHYLLO12","PHYLLO13","PHYLLO14","PHYLLO15","PHYLLO16","PHYLLO21","PHYLLO22","PHYLLO23","PHYLLO24","PHYLLO25","PHYLLO26","PHYLLO27","PHYLLO28","PHYLLO29"
"Malate.dehydrogenase..quinone...1.1.5.4."," 1"," 2"," 0"," 1","20","14","16","19","10"," 9","58","14","38","29","33","29"," 5"
"Quinate.dehydrogenase..quinone...1.1.5.8."," 0"," 2"," 0"," 5","13"," 0","10"," 3"," 6"," 8","49"," 9","12","10"," 9"," 9"," 0"
"Alcohol.dehydrogenase..azurin...1.1.9.1.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Glucose.6.phosphate.dehydrogenase..coenzyme.F420...1.1.98.2.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"Oxidoreductases....Acting.on.the.CH.OH.group.of.donors....With.other.acceptors..1.1.99...","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Choline.dehydrogenase..1.1.99.1."," 0"," 0"," 0"," 3","30","11"," 6"," 4","28"," 4","62"," 9","29","17","14","25"," 1"
"Transferred.entry..1.1.5.9..1.1.99.10.","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Glucoside.3.dehydrogenase..1.1.99.13.","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"Glycolate.dehydrogenase..1.1.99.14.","0","0","0","0","3","0","0","0","0","3","0","0","0","2","1","0","0"
"Transferred.entry..1.1.5.2..1.1.99.17.","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"Cellobiose.dehydrogenase..acceptor...1.1.99.18.","0","0","0","0","0","0","0","0","0","0","3","0","2","0","0","0","0"
"L.2.hydroxyglutarate.dehydrogenase..1.1.99.2.","0","0","0","0","1","0","0","0","0","1","1","0","0","0","2","2","1"
"D.sorbitol.dehydrogenase..acceptor...1.1.99.21.","0","2","0","0","2","7","1","0","0","2","5","1","7","1","0","0","0"
"Glycerol.dehydrogenase..acceptor...1.1.99.22.","0","0","0","0","0","0","0","1","1","0","3","0","0","0","0","0","0"
